Merk,Model,Cilinderinhoud (cc),Bouwjaar,Brandstof,Kilometerstand,Vermogen (kW),Vermogen (pk)
Peugeot,308,3300,04/2023,diesel,270769,396,531
Peugeot,2008,3400,12/1999,benzine,11615,315,422
Nissan,Rogue,3300,08/1992,lpg,152792,103,138
Fiat,Doblo,2900,09/1982,benzine,51611,62,83
Mitsubishi,Pajero,1300,12/2020,elektrisch,83717,309,414
Honda,Odyssey,4800,10/1995,diesel,38690,97,130
Audi,Qh,1300,07/2010,lpg,162143,298,400
Chevrolet,Colorado,3300,06/1995,lpg,1000010,50,67
Renault,Megane,1400,07/2016,benzine,181108,184,247
Porsche,911,1200,02/2010,diesel,149048,106,142
Honda,Fit,3400,08/2003,elektrisch,236349,112,150
Audi,A4,1700,02/2012,elektrisch,16373,59,79
Tesla,Model X,4800,07/2021,benzine,93258,81,109
Fiat,Doblo,1600,12/1998,benzine,113503,248,333
Tesla,Roadster,2500,09/2010,elektrisch,26564,349,468
BMW,5 Series,1000,01/1993,benzine,212984,278,373
Chevrolet,Camaro,2400,09/2011,elektrisch,14178,294,394
Honda,HR-V,1600,07/1992,lpg,38113,222,298
Chevrolet,Silverado,2300,09/2016,benzine,232025,247,331
Porsche,911,4800,07/2007,benzine,180947,236,316
Chevrolet,Camaro,2800,02/1997,benzine,24717,281,377
Porsche,Panamera,4800,12/2005,benzine,168717,360,483
Honda,Insight,2300,02/2008,lpg,29255,378,507
Alfa Romeo,Spider,3000,02/2007,elektrisch,39662,297,398
Mercedes-Benz,AMG GT,1900,02/2015,lpg,110716,364,488
Subaru,BRZ,1000,10/1996,diesel,14081,322,432
Lamborghini,Murcielago,1000,06/1993,benzine,142406,172,231
Alfa Romeo,Giulia,2500,04/2006,benzine,123493,310,416
Lamborghini,Reventon,2700,06/1994,benzine,59062,361,484
Honda,Fit,1400,02/1991,lpg,-1,284,381
Porsche,Macan,3500,09/1992,benzine,191629,360,483
Jeep,Grand Cherokee,3500,10/2002,lpg,128442,170,228
Porsche,Panamera,1100,10/1997,elektrisch,185047,56,75
Alfa Romeo,4C,2000,06/2007,diesel,170146,364,488
Toyota,Corolla,1100,08/2021,lpg,146493,328,440
Lamborghini,Urus,3300,11/2012,elektrisch,49659,195,261
Ferrari,Roma,1100,04/2018,lpg,127236,261,350
Volkswagen,Passat,4800,07/1997,lpg,94363,127,170
Volkswagen,Jetta,3500,03/1994,elektrisch,119206,192,257
Fiat,Fiorino,3000,05/2012,lpg,109484,363,487
Alfa Romeo,Giulietta,1600,06/2016,biodiesel,145776,149,200
Lamborghini,Murcielago,2300,05/2003,elektrisch,1000010,287,385
Kia,Rumplumplum,2700,07/2024,lpg,299913,207,278
Lamborghini,Murcielago,1400,12/2022,diesel,68275,289,388
Jeep,Renegade,3600,08/1991,benzine,103530,349,468
Mercedes-Benz,Sprinter,1300,02/1999,elektrisch,45542,136,182
Nissan,Murano,2100,11/2005,lpg,240948,319,428
Honda,CR-V,2200,08/2012,lpg,201482,376,504
Porsche,911,3500,12/2012,elektrisch,175935,105,141
Mazda,Mazda3,3000,09/1994,diesel,292757,307,412
Fiat,Tipo,2600,04/2023,lpg,179545,153,205
Porsche,Cayenne,3100,12/2019,diesel,149090,238,319
Kia,Niro,3500,04/2000,diesel,282857,142,190
Kia,Niro,2800,03/2006,benzine,80287,238,319
Lamborghini,Gallardo,1400,12/1999,diesel,28778,62,83
BMW,5 Series,3500,05/2013,benzine,258600,346,464
Volkswagen,Jetta,1300,12/2009,elektrisch,243663,166,223
Ferrari,488,2300,09/1996,lpg,-1,259,347
Volkswagen,Golf,2300,12/1996,diesel,8865,306,410
Hyundai,Elantra,2000,12/1994,diesel,202707,289,388
Subaru,Legacy,1800,11/2020,benzine,67649,179,240
Kia,Telluride,2500,06/2007,lpg,164124,397,532
Tesla,Model S,1900,05/2004,lpg,230704,263,353
Fiat,Tipo,2300,02/2021,benzine,96634,119,160
Honda,Ridgeline,2800,05/2009,benzine,60475,114,153
Peugeot,308,1800,06/1990,benzine,179741,174,233
Volvo,S60,1100,12/2023,diesel,238121,332,445
Porsche,718 Cayman,1500,09/2011,benzine,17932,162,217
Volvo,XC40,3300,11/2023,lpg,114303,248,333
Volkswagen,Tiguan,1500,06/2012,diesel,74982,287,385
Mitsubishi,ASX,2700,07/2017,diesel,22377,376,504
Ferrari,812 Superfast,2700,08/2011,diesel,137001,147,197
Audi,Q3,2200,11/2013,benzine,198693,199,267
Subaru,Outback,2300,04/1994,benzine,219891,43,58
BMW,X5,3000,12/2000,lpg,1000010,244,327
Toyota,4Runner,3400,12/2011,lpg,293895,157,211
Jeep,Grand Cherokee,3300,12/2009,elektrisch,128596,297,398
Nissan,Pathfinder,2800,10/2001,elektrisch,184653,122,164
Tesla,Model Y,1600,08/1999,diesel,173974,97,130
Mercedes-Benz,GLS,1400,03/2020,elektrisch,77983,148,198
Audi,A6,1900,01/2002,benzine,87769,102,137
Jeep,Gladiator,3000,12/1967,elektrisch,90675,163,219
Volvo,XC90,2900,05/1994,diesel,249005,273,366
Honda,Odyssey,1100,08/2002,elektrisch,233153,226,303
Chevrolet,Rumplumplum,2500,10/2000,lpg,122279,261,350
Renault,Kadjar,2600,10/1991,elektrisch,217192,204,274
Peugeot,5008,2600,09/2016,elektrisch,39885,308,413
Peugeot,508,2000,08/1996,elektrisch,32867,301,404
Kia,Niro,2900,08/2023,diesel,178449,75,101
Peugeot,2008,2300,07/1999,diesel,69865,233,312
Peugeot,208,2500,02/2010,diesel,185560,142,190
Fiat,Punto,2100,12/2001,benzine,295276,138,185
Ford,F-150,3400,11/2007,diesel,1012,236,316
Mazda,Rumplumplum,1300,01/2003,benzine,233458,301,404
Lamborghini,Huracan,2100,12/1993,benzine,113214,348,467
Alfa Romeo,Stelvio,1300,01/2009,lpg,15993,133,178
Mitsubishi,Eclipse Cross,3500,04/1992,elektrisch,151911,240,322
Kia,Niro,1200,05/2018,diesel,193525,69,93
Chevrolet,Colorado,2800,06/2017,lpg,105932,311,417
BMW,ek,2500,06/1990,elektrisch,83977,283,380
Ford,Expedition,1400,04/2008,lpg,206798,48,64
Mitsubishi,Mirage,1200,09/2009,diesel,185005,154,207
Kia,Stinger,3200,06/1994,diesel,248609,343,460
Nissan,Sentra,1600,05/2011,diesel,293144,58,78
Alfa Romeo,4C,1000,06/2023,lpg,-1,235,315
Lamborghini,Veneno,1400,07/2010,lpg,263389,61,82
Mazda,RX-8,2200,07/2015,elektrisch,223181,318,426
Jeep,Renegade,1800,05/1991,benzine,94597,290,389
Porsche,Panamera,3200,04/2000,elektrisch,254789,135,181
Subaru,Ascent,1600,06/2024,benzine,134139,375,503
Lamborghini,Veneno,3200,01/2002,benzine,179732,103,138
Kia,Niro,1900,05/2016,elektrisch,265800,349,468
Mercedes-Benz,C-Class,2000,05/2020,elektrisch,250532,364,488
Honda,Ridgeline,2200,04/2019,lpg,117460,249,334
Toyota,Land Cruiser,1200,09/2013,elektrisch,72301,262,351
BMW,Z4,2400,12/2008,diesel,219115,72,97
Fiat,Tipo,3200,12/2001,benzine,-1,288,386
Jeep,Grand Cherokee,2600,12/1999,diesel,254064,315,422
Hyundai,Accent,4800,08/2024,diesel,155556,218,292
Audi,e-tron,2400,05/2006,lpg,1000010,361,484
Chevrolet,Silverado,3300,09/2018,diesel,287160,287,385
Audi,TT,1100,07/2023,lpg,11196,323,433
Kia,Seltos,1200,10/2007,diesel,162406,298,400
Hyundai,Sonata,2300,07/2016,diesel,34181,201,270
Ford,F-150,1700,03/2014,diesel,73545,180,241
Kia,Sorento,3300,08/2023,diesel,152424,88,118
BMW,Z4,2700,06/2003,benzine,76495,242,325
Ferrari,Portofino,3500,01/2024,elektrisch,231491,201,270
Hyundai,Veloster,2400,08/1998,benzine,217101,175,235
Tesla,Model Y,1700,05/1997,benzine,148527,105,141
Relazlt,Captur,2200,07/2008,benzine,265219,303,406
Kia,Stinger,3200,02/1996,elektrisch,195733,289,388
Mercedes-Benz,A-Class,2000,04/1968,benzine,29112,103,138
Ferrari,Roma,3000,12/2014,elektrisch,1000010,246,330
Mazda,CX-30,2700,11/2003,elektrisch,251396,127,170
Hyundai,Genesis,3600,08/1995,diesel,69850,127,170
Chevrolet,Suburban,2700,07/2005,lpg,283324,190,255
Ferrari,F8 Tributo,1000,12/1997,lpg,83809,254,341
Volvo,S60,2100,12/2003,biodiesel,75909,372,499
Volkswagen,Touareg,3200,03/1999,elektrisch,292140,140,188
Nissan,Armada,3200,04/2009,elektrisch,286953,330,443
Renault,Twingo,3300,10/2021,lpg,267170,85,114
Hyundai,Kona,1900,07/2004,diesel,8069,163,219
Hyundai,Elantra,1900,07/2008,benzine,225250,272,365
Honda,Accord,2000,12/1990,diesel,6185,128,172
Mercedes-Benz,AMG GT,3500,09/1991,lpg,138336,162,217
Renault,Megane,2900,08/1984,benzine,58122,218,292
Honda,Odyssey,1800,12/2000,elektrisch,162954,158,212
Porsche,Panamera,1900,11/2008,benzine,281934,230,308
Tesla,Model S,2300,11/2007,benzine,39338,150,201
Peugeot,2008,1900,12/2000,diesel,71442,188,252
Nissan,Altima,1500,01/1999,benzine,205397,235,315
Honda,CR-V,1900,03/1990,diesel,121538,85,114
Jeep,Grand Cherokee,3200,10/2018,diesel,264037,321,430
Volkswagen,Golf,1500,08/2017,lpg,190577,106,142
Subaru,Forester,2100,04/2022,lpg,11334,193,259
Audi,A6,2700,03/1992,benzine,28940,347,465
Volkswagen,Polo,2800,05/2003,lpg,116958,133,178
Ferrari,LaFerrari,2800,08/2006,diesel,272897,103,138
Kia,Rio,3300,03/2003,benzine,71191,253,339
Nissan,Altima,2900,07/2002,biodiesel,215989,392,526
Tesla,Model 3,1700,07/2010,lpg,2925,147,197
Volkswagen,Jetta,3000,09/2013,benzine,268695,120,161
Ford,Explorer,3400,07/1991,benzine,33052,191,256
Toyota,Prius,2000,12/1995,lpg,294847,242,325
Volvo,C40,3100,05/2006,elektrisch,177750,215,288
Volkswagen,Rumplumplum,2100,10/2014,diesel,237142,359,481
Ford,F-150,3000,04/2021,lpg,-1,345,463
Audi,Q8,3300,09/1998,benzine,7367,135,181
Toyota,RAV4,2000,10/2010,elektrisch,188860,294,394
Alfa Romeo,Giulietta,1700,04/2015,diesel,135361,138,185
Porsche,718 Boxster,1100,12/1999,elektrisch,256750,386,518
Fiat,Fiorino,1000,03/2024,diesel,212274,65,87
Jeep,Grand Cherokee,1400,08/1993,benzine,2594,87,117
Lamborghini,Gallardo,2100,03/2020,lpg,74389,297,398
Mazda,MX-5 Miata,4800,07/2006,diesel,41146,121,162
Jeep,Cherokee,2400,12/1998,benzine,233669,369,495
Honda,Passport,1100,03/2010,lpg,34572,271,363
Audi,A4,2700,06/1991,biodiesel,69815,369,495
Peugeot,508,3300,02/2024,elektrisch,269386,299,401
Alfa Romeo,Giulietta,2200,03/2001,diesel,56510,227,304
Honda,Accord,2800,03/2001,lpg,190095,204,274
Renault,Koleos,3000,04/1988,diesel,122920,291,390
Lamborghini,Reventon,2800,02/2009,elektrisch,230,164,220
Mazda,CX-9,3300,06/1982,benzine,132013,159,213
Peugeot,3008,2400,02/1992,elektrisch,104941,124,166
Hyundai,Accent,2200,03/2014,elektrisch,11174,171,229
Volkswagen,Tiguan,1000,09/2019,diesel,76278,116,156
Ferrari,F8 vributo,2000,02/1992,lpg,194370,90,121
Srbbru,Crosstrek,2800,03/2007,elektrisch,93431,226,303
Audi,A6,1400,03/2002,benzine,194916,241,323
BMW,i3,2100,08/2015,lpg,21860,392,526
Ford,Edge,1100,04/1995,elektrisch,186567,206,276
Kia,Seltos,2300,04/2013,benzine,171201,352,472
Subaru,WRX,1300,06/1993,diesel,81552,384,515
Jeep,Grand Cherokee,3200,07/2013,diesel,296551,232,311
Mazda,RX-8,3400,09/1998,lpg,200303,94,126
Mitsubishi,Eclipse Cross,1900,06/2013,benzine,4531,281,377
Renault,Megane,2800,11/2001,diesel,73398,57,76
Lamborghini,Urus,2100,09/2011,benzine,286193,122,164
Honda,HR-V,1500,10/1992,diesel,105798,70,94
Kia,Soul,1600,04/2022,elektrisch,75106,75,101
Subaru,Legacy,2600,03/2019,elektrisch,299488,155,208
Hyundai,Elantra,2500,01/2007,elektrisch,214841,75,101
Lamborghini,Gallardo,1200,06/2004,diesel,122742,68,91
Toyota,Rumplumplum,2500,07/1991,benzine,147471,70,94
Hyundai,Palisade,1500,03/1996,elektrisch,194146,160,215
Volkswagen,Arteon,3100,05/2003,benzine,32437,85,114
Fiat,Tipo,3000,07/1990,elektrisch,286310,267,358
Jeep,Renegade,2400,03/2000,benzine,139432,252,338
Volvo,V90,2800,08/2000,diesel,229435,140,188
Jeep,Gladiator,2000,04/2019,lpg,255776,176,236
Peugeot,2008,2400,04/1992,lpg,12768,397,532
Subaru,Ascent,1800,12/2004,lpg,116358,237,318
Alfa Romeo,Spider,1900,04/2008,biodiesel,25170,321,430
Volvo,V90,3100,07/2006,benzine,10326,54,72
Porsche,Panamera,3400,03/2000,benzine,239033,330,443
Subaru,Impreza,2000,08/1994,diesel,250761,46,62
Ford,Edge,3200,10/2024,benzine,100603,370,496
Mazda,Mazda3,1900,12/1999,diesel,172328,167,224
Fiat,Doblo,1900,09/2000,lpg,71860,198,266
BMW,X7,3300,07/2019,benzine,63515,147,197
Porsche,718 Boxster,1700,05/2008,diesel,239070,146,196
Mazda,CX-30,1200,03/2023,diesel,224454,109,146
Mazda,CX-30,2600,04/2001,benzine,6529,387,519
Lamborghini,Urus,1900,01/2003,elektrisch,229764,315,422
Subaru,Ascent,2200,12/2020,lpg,15965,162,217
Ferrari,Portofino,2300,08/2011,lpg,41476,218,292
Tesla,Model X,1600,08/2011,elektrisch,295809,236,316
BMW,3 Series,1100,12/2002,elektrisch,192796,233,312
Jeep,Gladiator,3500,04/2019,biodiesel,239066,369,495
Subaru,Outback,1900,12/2021,lpg,223959,397,532
Jeep,Cherokee,2800,04/2019,lpg,228636,393,527
Subaru,BRZ,1200,05/2001,benzine,272040,245,329
Mitsubishi,Pajero,2600,07/2022,benzine,232461,156,209
Fiat,Panda,4800,09/2010,lpg,47982,113,152
Lamborghini,Urus,2000,12/2021,elektrisch,194712,109,146
Peugeot,2008,1400,10/2000,benzine,175631,122,164
Renault,Koleos,2500,01/1996,elektrisch,56448,52,70
Volvo,V90,1300,05/1998,diesel,-1,91,122
Fiat,Punto,2200,04/1997,elektrisch,197163,112,150
Fiat,Panda,2600,11/2024,benzine,78558,344,461
Peugeot,5008,3100,06/2018,benzine,208386,282,378
Jeep,Renegade,2100,03/2000,elektrisch,86213,164,220
Tesla,Roadster,3000,07/2013,lpg,258677,291,390
Porsche,718 Cayman,1800,12/2022,diesel,193547,149,200
Chevrolet,Suburban,2600,04/1990,elektrisch,1173,124,166
Renault,Clio,1100,03/2012,benzine,31432,355,476
Mitsubishi,Outlander,3100,08/2009,diesel,201518,58,78
Mitsubishi,Pajero,3100,12/2007,benzine,294812,181,243
Alfa Romeo,Giulia,3300,06/2009,diesel,-1,61,82
Honda,Ridgeline,3200,06/2023,lpg,1000010,240,322
Peugeot,5008,1200,03/2021,benzine,187677,212,284
Peugeot,308,3500,07/1990,diesel,288135,49,66
Renault,Twingo,1400,02/2000,diesel,169839,293,393
Tesla,Cybertruck,3400,01/2009,benzine,10333,113,152
Fiat,Doblo,3400,03/1993,lpg,279726,155,208
Mitsubishi,Triton,1600,07/2013,diesel,261494,256,343
Mitsubishi,ASX,1300,07/1992,lpg,95896,62,83
Nissan,Armada,3000,12/2011,diesel,237262,240,322
Toyota,Land Cruiser,1500,03/2008,benzine,272144,327,439
Mazda,Rumplumplum,1500,02/1997,diesel,278369,343,460
Nissan,Murano,2400,05/1992,elektrisch,83588,397,532
Kia,Stinger,3000,11/2001,lpg,11480,148,198
Malpa,CX-5,1700,05/2004,lpg,113508,158,212
Porsche,Macan,3400,11/2007,lpg,150674,245,329
Hyundai,Santa Fe,2000,08/2002,diesel,274921,240,322
Honda,Accord,2600,06/2021,lpg,188239,47,63
Volkswagen,Tiguac,1900,02/2020,benzine,232460,113,152
Kia,Soul,1000,03/2005,benzine,217606,210,282
Ford,Edge,1100,08/2024,diesel,279176,213,286
Subaru,Crosstrek,2100,11/2013,diesel,51052,168,225
Mazda,Mazda6,2800,10/2000,elektrisch,239877,151,202
Chevrolet,Silverado,1300,01/2014,biodiesel,271605,237,318
Renault,Kadjar,4800,04/1993,benzine,35359,86,115
Fiat,Fiorino,2800,04/2020,diesel,39247,296,397
Fiat,Panda,3200,04/2024,diesel,28813,395,530
Chevrolet,Silverado,2900,12/2020,benzine,131863,312,418
Porsche,718 Cayman,2900,07/2015,diesel,52948,121,162
Porsche,911,2800,03/2010,diesel,249158,327,439
Peugeot,2008,1400,12/1995,benzine,30766,65,87
Audi,A8,2200,01/1999,diesel,111035,256,343
Peugeot,Rifter,1200,04/2016,diesel,170289,363,487
Subaru,WRX,3400,09/2002,diesel,37509,46,62
Volvo,XC40,3400,07/2012,elektrisch,34418,219,294
Tesla,Model Y,1400,08/2018,lpg,73009,91,122
Hyundai,Ioniq,1800,04/2010,benzine,52579,245,329
Fiat,Doblo,2400,05/2020,benzine,1000010,40,54
Honda,Odyssey,1600,07/2022,diesel,228901,347,465
Hyundai,svny,1300,10/1999,diesel,11469,149,200
Porsche,Cayenne,1600,01/1987,elektrisch,42282,65,87
Subaru,WRX,1800,06/2008,benzine,292639,203,272
Mercedes-Benz,A-Class,1400,08/2018,elektrisch,42894,133,178
Volvo,V60,3200,09/2010,diesel,133779,206,276
Ford,Edge,1500,12/2019,benzine,60965,162,217
Mitsubishi,Pajero,2100,05/1991,diesel,261710,53,71
Volvo,V90,3500,11/2015,diesel,248839,312,418
Nissan,Sentra,3100,06/2021,elektrisch,286120,316,424
Chevrolet,Suburban,2300,02/1995,diesel,35301,225,302
Kia,Stinger,3000,11/2020,lpg,124715,143,192
qfW,i3,3200,02/2019,lpg,213339,68,91
Mitsubishi,Lnncer,2600,08/2021,elektrisch,219644,175,235
Tesla,Cybertruck,1900,07/2011,lpg,113660,388,520
Porsche,Panamera,1900,01/1997,benzine,133286,219,294
Ford,F-150,2500,03/1998,lpg,42499,248,333
Subaru,BRZ,3400,02/2014,lpg,104991,346,464
Fiat,Tipo,3200,07/1991,benzine,263952,179,240
Jeep,Renegade,3000,08/2003,benzine,195537,81,109
Hyundai,Tucson,3600,01/2004,elektrisch,1000010,144,193
